,tag_type,word_count,percentage
0,Betroffene,1465,29.353
1,Umfeld,966,19.355
2,Kirchenverantwortliche,965,19.335
3,Kirchliche MA,653,13.084
4,Beschuldigte,439,8.796
5,Akten,404,8.095
6,Forschungsliteratur,67,1.342
7,Sonstige Quellen,32,0.641
