,tag_type,word_count,percentage
0,Pfarrei,46,21.905
1,weitere Tatkonstellationen,45,21.429
2,Dienstverhältnis,40,19.048
3,Bildung,22,10.476
4,Orden,20,9.524
5,Jugendarbeit,18,8.571
6,Geistliche Gemeinschaften,8,3.81
7,Geistliche Begleitung,5,2.381
8,Beichte,3,1.429
9,Kategoriale Seelsorge,2,0.952
10,Seelsorge,1,0.476
