,tag_type,word_count,percentage
0,Vorgehen allgemein,3189,39.153
1,"Maßnahme, Strafe",1987,24.395
2,Verzögerung,1183,14.524
3,keine Konsequenzen,797,9.785
4,Verschleierung,474,5.82
5,Loyalität mit dem Täter,139,1.707
6,Druck/Zwang,128,1.572
7,Neutralisierung,64,0.786
8,Solidarisierung mit Betroffenen,55,0.675
9,"Entschädigung, Wiedergutmachung etc.",50,0.614
10,Schweigegebot,49,0.602
11,Victim Blaming (Bistum),30,0.368
