,tag_type,word_count,percentage
0,weitere Vorwürfe,433,29.556
1,Berührungen,341,23.276
2,nicht spezifizierte Taten,252,17.201
3,Sprache/Gesten/Aufforderungen,156,10.648
4,spirituell,131,8.942
5,reproduktiv,54,3.686
6,Entblößen des eigenen Körpers,39,2.662
7,Penetration,31,2.116
8,Verhältnis,28,1.911
