,tag_type,word_count,percentage
0,Sonstige Vertuschung,545,32.831
1,Anbahnung,287,17.289
2,Durchführung,273,16.446
3,Vertuschung,238,14.337
4,Geständnis,135,8.133
5,Weiteres Handeln der Beschuldigten,127,7.651
6,Schritte der Wiedergutmachung,55,3.313
