,Unglaubwürdigkeit,Weitere Stereotype und Motive,mental health,Sum
Unglaubwürdigkeit,5,1,1,7
Weitere Stereotype und Motive,1,1,1,3
mental health,1,1,1,3
Sum,7,3,3,13
