,Meldung (Umfeld),Solidarisierung mit Beschuldigtem (Umfeld),Solidarisierung mit Betroffenen (Umfeld),Verzicht auf Meldung (Umfeld),Warnung,Sum
Anbahnung,1,1,0,1,1,4
Durchführung,1,1,0,1,1,4
Geständnis,2,1,0,1,1,5
Schritte der Wiedergutmachung,1,1,0,0,0,2
Sonstige Vertuschung,2,1,0,1,1,5
Vertuschung,3,0,0,0,1,4
Weiteres Handeln der Beschuldigten,2,2,0,1,1,6
Sum,12,7,0,5,6,30
