,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
"Rechtliches Verfahren, offizielle Untersuchung",0,0,0
rechtliches Verfahren,1,0,1
rechtliches Verfahren ohne Konsequenzen,0,0,0
Sum,1,0,1
