,Unglaubwürdigkeit,Weitere Stereotype und Motive,mental health,Sum
Druck/Zwang,1,1,1,3
"Entschädigung, Wiedergutmachung etc.",1,0,0,1
Loyalität mit dem Täter,3,1,1,5
"Maßnahme, Strafe",2,1,1,4
Neutralisierung,2,1,1,4
Schweigegebot,1,1,1,3
Solidarisierung mit Betroffenen,1,0,0,1
Verschleierung,1,1,1,3
Verzögerung,2,1,1,4
Victim Blaming (Bistum),1,1,1,3
Vorgehen allgemein,4,1,1,6
keine Konsequenzen,4,1,1,6
Sum,23,10,10,43
