,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Meldung (Umfeld),6,0,2,4,1,7,0,1,5,26
Solidarisierung mit Beschuldigtem (Umfeld),1,0,1,1,0,2,0,1,2,8
Solidarisierung mit Betroffenen (Umfeld),1,0,0,0,0,0,0,0,1,2
Verzicht auf Meldung (Umfeld),1,0,1,1,0,1,0,1,1,6
Warnung,1,0,1,2,0,2,0,1,2,9
Sum,10,0,5,8,1,12,0,4,11,51
