,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Meldung (Umfeld),0,2,1,3
Solidarisierung mit Beschuldigtem (Umfeld),0,1,0,1
Solidarisierung mit Betroffenen (Umfeld),0,0,0,0
Verzicht auf Meldung (Umfeld),0,1,0,1
Warnung,0,1,0,1
Sum,0,5,1,6
