,Meldung,Reaktion,Tat,weitere Zeitangaben,Sum
Druck/Zwang,1,1,1,0,3
"Entschädigung, Wiedergutmachung etc.",1,1,1,0,3
Loyalität mit dem Täter,3,3,2,1,9
"Maßnahme, Strafe",13,4,9,0,26
Neutralisierung,3,1,2,0,6
Schweigegebot,1,1,1,0,3
Solidarisierung mit Betroffenen,1,1,0,0,2
Verschleierung,1,1,2,0,4
Verzögerung,2,2,3,0,7
Victim Blaming (Bistum),1,1,1,0,3
Vorgehen allgemein,11,5,9,1,26
keine Konsequenzen,8,3,8,1,20
Sum,46,24,39,3,112
