,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Abwehr,1,1,1,3
Disclosure privat,0,1,0,1
Solidarisierung mit den beschuldigten (Betroffene),0,1,0,1
Verzicht auf Meldung (Betroffene),0,1,0,1
Weiteres Handeln der Betroffenen,0,1,0,1
Sum,1,5,1,7
