,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Dummheit,0,0,1,3,0,0,1,0,0,0,2,1,8
Gefahr für priesterliches Ansehen,0,0,0,1,0,0,0,0,0,0,1,0,2
Kirchenrechtlich,1,0,1,2,1,1,0,2,2,1,2,3,16
Liebesbeziehung,0,1,0,3,0,0,0,0,1,0,4,2,11
Missbrauch,1,1,2,8,4,1,0,1,4,1,9,7,39
Schutz- und Hilfsbedürftigkeit,1,0,1,1,1,1,0,1,1,1,1,1,10
Strafrechtlich,1,1,1,5,2,1,0,2,3,1,6,5,28
Verhältnis nicht weiter spezifiziert,0,0,1,5,0,0,0,0,0,0,4,3,13
Verstoß gegen 6. Gebot,1,0,1,1,1,1,0,1,1,1,1,1,10
Weitere Framings,1,0,1,2,1,1,0,1,1,1,2,1,12
Zölibatsverstoß,0,0,0,1,0,0,0,0,0,0,1,1,3
der Frau,0,0,1,1,0,0,1,0,0,0,0,0,3
durch Frau,1,0,1,2,1,1,0,1,1,1,2,1,12
moralische Verurteilung,1,0,1,3,1,1,0,1,1,1,2,2,14
sexuelle Handlungen,0,0,0,1,0,0,0,0,0,0,1,0,2
unerheblich,1,0,2,3,1,1,1,1,1,1,1,1,14
verklausuliert,1,0,1,3,1,1,0,1,1,1,2,2,14
"Übergriff, Gewalt etc.",1,0,1,1,1,1,0,1,1,1,1,1,10
Sum,11,3,16,46,15,11,3,13,18,11,42,32,221
