,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Anbahnung,2,0,1,1,0,3,0,2,1,10
Durchführung,2,0,1,1,0,2,0,1,1,8
Geständnis,3,0,1,1,1,4,0,2,2,14
Schritte der Wiedergutmachung,0,0,0,0,1,1,0,0,2,4
Sonstige Vertuschung,2,0,1,1,0,2,0,1,1,8
Vertuschung,3,0,1,3,1,3,1,0,4,16
Weiteres Handeln der Beschuldigten,1,0,2,1,0,2,1,1,2,10
Sum,13,0,7,8,3,17,2,7,13,70
