,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Dummheit,0,1,1,0,0,1,0,0,3,0,1,7
Gefahr für priesterliches Ansehen,0,0,1,0,0,0,0,0,1,0,1,3
Kirchenrechtlich,1,1,1,1,1,2,0,1,1,0,0,9
Liebesbeziehung,0,1,0,0,0,0,0,0,0,0,0,1
Missbrauch,1,2,1,1,2,2,1,2,2,1,0,15
Schutz- und Hilfsbedürftigkeit,1,1,1,0,0,1,0,0,0,0,0,4
Strafrechtlich,1,1,1,1,1,2,0,1,1,0,0,9
Verhältnis nicht weiter spezifiziert,0,0,2,0,0,0,0,0,3,0,3,8
Verstoß gegen 6. Gebot,1,1,1,0,0,1,0,0,0,0,0,4
Weitere Framings,1,1,2,0,0,1,0,0,1,0,1,7
Zölibatsverstoß,0,0,0,0,0,0,0,0,0,0,0,0
der Frau,0,1,0,0,0,1,0,0,1,0,0,3
durch Frau,1,1,1,0,0,1,0,0,0,0,0,4
moralische Verurteilung,1,1,3,0,0,1,0,0,2,0,2,10
sexuelle Handlungen,0,0,0,0,0,0,0,0,0,0,1,1
unerheblich,1,3,1,0,0,2,0,0,1,0,0,8
verklausuliert,1,1,3,0,0,1,0,0,2,0,2,10
"Übergriff, Gewalt etc.",1,1,1,0,0,1,0,0,0,0,0,4
Sum,11,17,20,3,4,17,1,4,18,1,11,107
