,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Beichte,1,1,1,1,1,1,0,1,7
Bildung,2,3,3,1,1,1,0,2,13
Dienstverhältnis,3,1,1,1,2,3,0,3,14
Geistliche Begleitung,1,0,0,0,0,0,0,0,1
Geistliche Gemeinschaften,1,0,0,0,0,0,0,0,1
Jugendarbeit,3,2,2,1,2,1,0,1,12
Kategoriale Seelsorge,0,0,0,0,0,0,0,0,0
Orden,1,0,0,0,0,0,0,0,1
Pfarrei,4,3,2,0,3,2,0,4,18
Seelsorge,0,0,0,0,0,0,0,0,0
weitere Tatkonstellationen,2,1,0,0,2,2,0,4,11
Sum,18,11,9,4,11,10,0,15,78
