,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Definition,0,0,0,0
Statistik,0,0,0,0
qualitative Auswertung,0,0,0,0
Sum,0,0,0,0
