,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
"Rechtliches Verfahren, offizielle Untersuchung",0,0,0,0,0,0,0,0,0,0,0,0
rechtliches Verfahren,1,1,1,0,0,1,0,0,0,0,0,4
rechtliches Verfahren ohne Konsequenzen,0,0,0,0,0,0,0,0,0,0,0,0
Sum,1,1,1,0,0,1,0,0,0,0,0,4
