,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Dummheit,2,0,1,2,0,2,0,0,2,9
Gefahr für priesterliches Ansehen,0,0,0,1,0,1,0,0,1,3
Kirchenrechtlich,2,0,1,1,0,3,0,3,2,12
Liebesbeziehung,2,0,0,1,1,3,0,0,1,8
Missbrauch,6,1,1,1,1,15,0,3,5,33
Schutz- und Hilfsbedürftigkeit,1,0,1,1,0,1,0,1,1,6
Strafrechtlich,3,0,1,2,0,5,0,3,2,16
Verhältnis nicht weiter spezifiziert,2,0,0,1,3,3,1,0,3,13
Verstoß gegen 6. Gebot,1,0,1,1,0,1,0,1,1,6
Weitere Framings,1,0,1,2,0,2,0,1,2,9
Zölibatsverstoß,0,0,1,0,0,0,1,0,0,2
der Frau,1,0,1,1,0,0,0,0,0,3
durch Frau,2,0,1,1,1,2,0,1,1,9
moralische Verurteilung,2,0,1,5,0,3,0,1,4,16
sexuelle Handlungen,0,0,0,0,0,1,0,0,0,1
unerheblich,2,0,2,3,0,1,0,1,2,11
verklausuliert,2,0,1,2,0,3,0,1,3,12
"Übergriff, Gewalt etc.",1,0,1,1,0,1,0,1,1,6
Sum,30,1,15,26,6,47,2,17,31,175
