,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Definition,0,0,0,0,0,0,0,0,0,0
Statistik,0,0,0,0,0,1,0,0,0,1
qualitative Auswertung,0,0,0,0,0,3,0,1,0,4
Sum,0,0,0,0,0,4,0,1,0,5
