,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Abwehr,1,1,1,4,3,1,0,1,2,1,4,5,24
Disclosure privat,1,0,1,3,1,1,0,1,1,1,2,3,15
Solidarisierung mit den beschuldigten (Betroffene),1,0,1,1,1,1,0,1,1,1,1,1,10
Verzicht auf Meldung (Betroffene),1,0,1,1,1,1,0,1,1,1,1,1,10
Weiteres Handeln der Betroffenen,1,0,1,1,1,1,0,1,1,1,1,1,10
Sum,5,1,5,10,7,5,0,5,6,5,9,11,69
