,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Definition,0,0,0,0,0,0,1,0,1,0,0,2
Statistik,0,0,0,0,1,0,0,1,0,0,0,2
qualitative Auswertung,0,0,0,1,2,0,0,2,0,0,0,5
Sum,0,0,0,1,3,0,1,3,1,0,0,9
