,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Anbahnung,1,1,1,1,1,1,0,1,0,0,0,7
Durchführung,1,1,1,0,0,1,0,0,0,0,0,4
Geständnis,1,1,1,0,0,1,0,0,0,0,0,4
Schritte der Wiedergutmachung,0,2,0,0,0,0,0,0,1,0,0,3
Sonstige Vertuschung,1,1,1,0,0,1,0,0,0,0,0,4
Vertuschung,0,2,1,0,0,1,0,0,2,0,2,8
Weiteres Handeln der Beschuldigten,1,2,1,0,0,1,0,0,0,0,0,5
Sum,5,10,6,1,1,6,0,1,3,0,2,35
