,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Unglaubwürdigkeit,3,0,2,2,1,2,1,1,3,15
Weitere Stereotype und Motive,1,0,1,1,0,1,0,1,1,6
mental health,1,0,1,1,0,1,0,1,1,6
Sum,5,0,4,4,1,4,1,3,5,27
