,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
Beichte,1,0,1
Bildung,1,1,2
Dienstverhältnis,1,0,1
Geistliche Begleitung,0,0,0
Geistliche Gemeinschaften,0,0,0
Jugendarbeit,1,0,1
Kategoriale Seelsorge,0,0,0
Orden,0,0,0
Pfarrei,0,0,0
Seelsorge,0,0,0
weitere Tatkonstellationen,0,0,0
Sum,4,1,5
