,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
"Rechtliches Verfahren, offizielle Untersuchung",0,1,1,0,1,0,0,0,3
rechtliches Verfahren,1,2,1,1,1,1,0,1,8
rechtliches Verfahren ohne Konsequenzen,0,2,1,0,1,0,0,0,4
Sum,1,5,3,1,3,1,0,1,15
