,Unglaubwürdigkeit,Weitere Stereotype und Motive,mental health,Sum
Dummheit,1,0,0,1
Gefahr für priesterliches Ansehen,0,0,0,0
Kirchenrechtlich,1,1,1,3
Liebesbeziehung,1,0,0,1
Missbrauch,2,1,1,4
Schutz- und Hilfsbedürftigkeit,1,1,1,3
Strafrechtlich,2,1,1,4
Verhältnis nicht weiter spezifiziert,1,0,0,1
Verstoß gegen 6. Gebot,1,1,1,3
Weitere Framings,1,1,1,3
Zölibatsverstoß,0,0,0,0
der Frau,1,0,0,1
durch Frau,1,1,1,3
moralische Verurteilung,1,1,1,3
sexuelle Handlungen,0,0,0,0
unerheblich,2,1,1,4
verklausuliert,1,1,1,3
"Übergriff, Gewalt etc.",1,1,1,3
Sum,18,11,11,40
