,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Meldung (Umfeld),1,3,3,0,0,2,0,0,4,0,2,15
Solidarisierung mit Beschuldigtem (Umfeld),1,2,1,0,0,1,0,0,0,0,0,5
Solidarisierung mit Betroffenen (Umfeld),0,0,1,0,0,0,0,0,1,0,1,3
Verzicht auf Meldung (Umfeld),1,1,1,0,0,1,0,0,0,0,0,4
Warnung,1,1,2,0,0,1,0,0,1,0,1,7
Sum,4,7,8,0,0,5,0,0,6,0,4,34
