,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Anbahnung,1,1,1,1,1,1,0,1,2,1,2,2,14
Durchführung,1,1,1,1,1,1,0,1,2,1,2,2,14
Geständnis,1,0,1,4,1,1,0,1,2,1,3,2,17
Schritte der Wiedergutmachung,0,0,0,3,0,0,0,0,0,0,1,1,5
Sonstige Vertuschung,1,0,1,2,2,1,0,1,1,1,2,2,14
Vertuschung,0,1,2,4,2,0,1,0,1,0,5,4,20
Weiteres Handeln der Beschuldigten,1,0,1,2,1,1,0,1,1,1,2,2,13
Sum,5,3,7,17,8,5,1,5,9,5,17,15,97
