,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
reproduktiv,3,3,1,1,8
sexuell,3,34,4,10,51
spirituell,1,4,4,2,11
weitere Vorwürfe,1,10,2,12,25
Sum,8,51,11,25,95
