,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Victim Blaming (Bistum),Vorgehen,Sum
"Entschädigung, Wiedergutmachung etc.",1,0,1,0,0,0,1,3
Loyalität mit dem Täter,0,4,1,1,1,1,4,12
Neutralisierung,1,1,10,1,0,1,9,23
Schweigegebot,0,1,1,1,0,1,1,5
Solidarisierung mit Betroffenen,0,1,0,0,1,0,1,3
Victim Blaming (Bistum),0,1,1,1,0,1,1,5
Vorgehen,1,4,9,1,1,1,25,42
Sum,3,12,23,5,3,5,42,93
