term,frequency,percentage
beziehungen,5,7.246
beziehung,4,5.797
verhältnis,3,4.348
priesters,2,2.899
…,2,2.899
frauen,2,2.899
mädchen,2,2.899
beziehun-,1,1.449
cousinen,1,1.449
gen,1,1.449
freundliche,1,1.449
häuserin,1,1.449
rers,1,1.449
vergangen,1,1.449
pfar-,1,1.449
herrn,1,1.449
häuse-,1,1.449
schulmädchen,1,1.449
unangemessenen,1,1.449
rin,1,1.449
jungen,1,1.449
kannte,1,1.449
priester,1,1.449
frau,1,1.449
prieste,1,1.449
heimlich,1,1.449
geführte,1,1.449
missbrauchsbeziehung,1,1.449
intimes,1,1.449
erklärte,1,1.449
liebe,1,1.449
eh,1,1.449
niemand,1,1.449
glauben,1,1.449
ja,1,1.449
verliebt,1,1.449
se,1,1.449
betroffene,1,1.449
seien,1,1.449
etwa,1,1.449
halbes,1,1.449
jahr,1,1.449
1993,1,1.449
lie-,1,1.449
bespaar,1,1.449
intime,1,1.449
intimen,1,1.449
verhältnissen,1,1.449
liebesbeziehung,1,1.449
sexuelle,1,1.449
anzubahnen,1,1.449
anderweitig,1,1.449
problematisches,1,1.449
verhalten,1,1.449
erwachsenen,1,1.449
männern,1,1.449
