term,frequency,percentage
sexuellen,14,8.485
missbrauch,11,6.667
missbrauchs,7,4.242
sexuell,3,1.818
vorwürfe,3,1.818
sexuelle,3,1.818
gewalt,2,1.212
xuellen,2,1.212
se-,2,1.212
sexualisierter,2,1.212
wann,2,1.212
miss-,2,1.212
sache,2,1.212
müssen,2,1.212
erwachsenen,2,1.212
missbrauchsvorwürfe,2,1.212
liegt,2,1.212
anschein,2,1.212
begriff,2,1.212
mißbrauch,2,1.212
spiritueller,2,1.212
gegenüber,2,1.212
übergriffig,1,0.606
xuell,1,0.606
sugge-,1,0.606
exhibitionismus,1,0.606
pfarrer,1,0.606
d.s,1,0.606
ellen,1,0.606
sexu-,1,0.606
genähert,1,0.606
absicht,1,0.606
wählen,1,0.606
riert,1,0.606
akt,1,0.606
beziehungen,1,0.606
seelsorge,1,0.606
unvereinbarkeit,1,0.606
haus,1,0.606
brauch,1,0.606
missbrauchsbeziehung,1,0.606
selbstbestimmung,1,0.606
klären,1,0.606
beschuldigten,1,0.606
meiden,1,0.606
gedeutet,1,0.606
kinder,1,0.606
bewusst,1,0.606
missbrauchshandlungen,1,0.606
missbräuchlicher,1,0.606
wurde,1,0.606
alt,1,0.606
jahre,1,0.606
18,1,0.606
frau,1,0.606
begonnen,1,0.606
melden,1,0.606
d.h,1,0.606
verjährt,1,0.606
minderjähriger,1,0.606
missbraucht,1,0.606
brauchs,1,0.606
sexuellem,1,0.606
ganz,1,0.606
allgemein,1,0.606
rom,1,0.606
«sexuellen,1,0.606
missbrauchs»,1,0.606
finiert,1,0.606
de­,1,0.606
umfasst,1,0.606
selbstbestimmungs­,1,0.606
recht,1,0.606
taten,1,0.606
menschen,1,0.606
verletzen,1,0.606
hierbei,1,0.606
zentral,1,0.606
vorlie­,1,0.606
genden,1,0.606
untersuchung,1,0.606
enn,1,0.606
übergriffe,1,0.606
angewandt,1,0.606
beschränk,1,0.606
minderjährige,1,0.606
priester,1,0.606
seelsorgerische,1,0.606
aufgaben,1,0.606
gerade,1,0.606
befinden,1,0.606
oft,1,0.606
asymmetrischen,1,0.606
verhältnis,1,0.606
betreuten,1,0.606
frauen,1,0.606
männern,1,0.606
übernehmen,1,0.606
wobei,1,0.606
machtgefälle,1,0.606
voraussetzung,1,0.606
wesentliche,1,0.606
missbräu­,1,0.606
che,1,0.606
darstellen,1,0.606
schweren,1,0.606
missbräuchen,1,0.606
se­,1,0.606
wegen,1,0.606
spirituellen,1,0.606
sowie,1,0.606
missbräuchliches,1,0.606
ver­,1,0.606
halten,1,0.606
