term,frequency,percentage
„gefahr,2,5.405
beruf“,2,5.405
beziehungen,2,5.405
ansehen,2,5.405
…,2,5.405
erfahren,1,2.703
ch,1,2.703
anlass,1,2.703
gesellschaft-,1,2.703
lichen,1,2.703
weit,1,2.703
rechte,1,2.703
mass,1,2.703
sic,1,2.703
priester,1,2.703
redereien,1,2.703
wobei,1,2.703
hinausrast,1,2.703
ergeben,1,2.703
situationen,1,2.703
priesterliche,1,2.703
völlig,1,2.703
zerstören,1,2.703
leute,1,2.703
gewundert,1,2.703
sehen,1,2.703
„priesterliches,1,2.703
völlig“,1,2.703
zerstörten,1,2.703
verwunderung,1,2.703
pfarrei,1,2.703
sorgen,1,2.703
