term,frequency,percentage
–,2,5.0
gegenüber,2,5.0
zufolge,2,5.0
gewalt,1,2.5
sexualisierter,1,2.5
mitarbeiterinnen,1,2.5
nen,1,2.5
betroffe-,1,2.5
anschließenden,1,2.5
bischofs,1,2.5
darstellung,1,2.5
diakon,1,2.5
n,1,2.5
gespräch,1,2.5
sofortige,1,2.5
versetzung,1,2.5
anton,1,2.5
p.s,1,2.5
gefordert,1,2.5
andernfalls,1,2.5
fall,1,2.5
strafanzeige,1,2.5
bringen,1,2.5
fr,1,2.5
frau,1,2.5
u,1,2.5
jahre,1,2.5
1997,1,2.5
berichten,1,2.5
schuldig,1,2.5
fühlte,1,2.5
man-,1,2.5
gelnde,1,2.5
bereitschaft,1,2.5
täter,1,2.5
aussage,1,2.5
wiederholen,1,2.5
