term,frequency,percentage
2010,2,5.405
bericht,1,2.703
raue,1,2.703
zufolge,1,2.703
rahmen,1,2.703
aufdeckungen,1,2.703
jahr,1,2.703
41,1,2.703
betroffenen,1,2.703
ehemaligen,1,2.703
schülern,1,2.703
missbrauchstäter,1,2.703
be-,1,2.703
nannt,1,2.703
eindringen,1,2.703
mund,1,2.703
zunge,1,2.703
willen,1,2.703
opfers,1,2.703
massiv,1,2.703
beeinträchtigend,1,2.703
angenommen,1,2.703
penetration,1,2.703
glied,1,2.703
jedoch,1,2.703
gleichfalls,1,2.703
akt,1,2.703
sexuelle,1,2.703
selbstbestimmung,1,2.703
burgsmüller,1,2.703
2014,1,2.703
s,1,2.703
55,1,2.703
eisele,1,2.703
2012,1,2.703
23,1,2.703
