term,frequency,percentage
missbrauch,3,2.083
p,3,2.083
anton,3,2.083
hause,2,1.389
gefügig,2,1.389
pfarrhaus,2,1.389
leben,2,1.389
gemacht,2,1.389
später,2,1.389
mutter,2,1.389
lud,1,0.694
hildesheim,1,0.694
tochter,1,0.694
frau,1,0.694
»vertrau-,1,0.694
führte,1,0.694
chilenische,1,0.694
wohnen,1,0.694
zwei,1,0.694
sagen,1,0.694
hildes-,1,0.694
»jetzt,1,0.694
heim,1,0.694
vater,1,0.694
sein.«,1,0.694
»wenn,1,0.694
neuer,1,0.694
zusammen,1,0.694
schlafen,1,0.694
vorher,1,0.694
müssen,1,0.694
liches,1,0.694
gespräch«,1,0.694
persönlich,1,0.694
bereits,1,0.694
verführt,1,0.694
druck,1,0.694
ass,1,0.694
gesetzt,1,0.694
fort,1,0.694
vehement,1,0.694
jugendarbeit,1,0.694
»so-,1,0.694
hineindrängte«,1,0.694
wiederholten,1,0.694
geschenken,1,0.694
größeren,1,0.694
ebenso,1,0.694
enkeltochter,1,0.694
geschenke,1,0.694
formuliert,1,0.694
dreist,1,0.694
neues,1,0.694
»angebot«,1,0.694
karin,1,0.694
b,1,0.694
solle,1,0.694
chile,1,0.694
projekten,1,0.694
fliegen,1,0.694
zustande,1,0.694
kommt,1,0.694
ährend,1,0.694
darüber,1,0.694
sprechen.«,1,0.694
gebunden,1,0.694
mädchen,1,0.694
gut,1,0.694
beschuldigten,1,0.694
erzählte,1,0.694
beichte,1,0.694
deshalb,1,0.694
probleme,1,0.694
alkoholikerin,1,0.694
gehe,1,0.694
tröstete,1,0.694
zunächst,1,0.694
nett,1,0.694
baute,1,0.694
ver-,1,0.694
trauen,1,0.694
familie,1,0.694
sei,1,0.694
machte,1,0.694
geschenk,1,0.694
plimente,1,0.694
kom-,1,0.694
umarmte,1,0.694
gab,1,0.694
küsse,1,0.694
anfangs,1,0.694
gesicht,1,0.694
öfter,1,0.694
getrunken,1,0.694
angerufen,1,0.694
schlecht,1,0.694
ging,1,0.694
zeit,1,0.694
gebe,1,0.694
genom-,1,0.694
abgeholt,1,0.694
situation,1,0.694
men,1,0.694
umarmungen,1,0.694
getröstet,1,0.694
sakralen,1,0.694
erstmal,1,0.694
spi­,1,0.694
rituellen,1,0.694
legitimiert,1,0.694
kontext,1,0.694
betroffene,1,0.694
person,1,0.694
macht,1,0.694
gesprochen,1,0.694
mithilfe,1,0.694
propagierten,1,0.694
«liebesfreundschaft»,1,0.694
theologie,1,0.694
mitglie­,1,0.694
gemeinschaft,1,0.694
ausgeübt,1,0.694
einfluss,1,0.694
sexuellen,1,0.694
piritueller,1,0.694
ermöglichte,1,0.694
begangenen,1,0.694
se­,1,0.694
xuellen,1,0.694
legitimieren,1,0.694
verteidigen,1,0.694
