,Meldung,Reaktion,Tat,weitere Zeitangaben,Sum
"Entschädigung, Wiedergutmachung etc.",1,1,1,0,3
Loyalität mit dem Täter,3,3,2,1,9
Neutralisierung,4,2,4,0,10
Schweigegebot,1,1,1,0,3
Solidarisierung mit Betroffenen,1,1,0,0,2
Victim Blaming (Bistum),1,1,1,0,3
Vorgehen,16,6,11,1,34
Sum,27,15,20,2,64
