,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Victim Blaming (Bistum),Vorgehen,Sum
Abwehr,1,1,4,1,0,1,5,13
Disclosure privat,0,1,1,1,0,1,3,7
Solidarisierung mit den beschuldigten (Betroffene),0,1,1,1,0,1,1,5
Verzicht auf Meldung (Betroffene),0,1,1,1,0,1,1,5
Weiteres Handeln der Betroffenen,0,1,1,1,0,1,1,5
Sum,1,5,8,5,0,5,11,35
