,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
reproduktiv,0,1,2,0,1,0,0,2,6
sexuell,6,7,8,1,7,3,0,12,44
spirituell,2,1,2,1,1,1,0,2,10
weitere Vorwürfe,3,5,2,1,4,4,0,6,25
Sum,11,14,14,3,13,8,0,22,85
