,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
"Entschädigung, Wiedergutmachung etc.",0,1,1,0,1,0,0,0,3
Loyalität mit dem Täter,2,3,2,1,2,1,0,2,13
Neutralisierung,2,4,4,1,4,2,0,4,21
Schweigegebot,1,1,1,1,1,1,0,1,7
Solidarisierung mit Betroffenen,1,1,1,0,0,0,0,0,3
Victim Blaming (Bistum),1,1,1,1,1,1,0,1,7
Vorgehen,5,9,6,1,7,5,0,11,44
Sum,12,20,16,5,16,10,0,19,98
