,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
"Rechtliches Verfahren, offizielle Untersuchung",1,3,2,1,2,1,0,1,11
Sum,1,3,2,1,2,1,0,1,11
