,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Definition,0,0,0,0,0,1,0,1
Statistik,0,0,1,0,1,0,0,2
qualitative Auswertung,0,0,2,0,2,1,0,5
Sum,0,0,3,0,3,2,0,8
