,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Meldung (Umfeld),3,3,0,2,0,5,2,15
Solidarisierung mit Beschuldigtem (Umfeld),2,1,0,1,0,1,0,5
Solidarisierung mit Betroffenen (Umfeld),0,1,0,0,0,1,1,3
Verzicht auf Meldung (Umfeld),1,1,0,1,0,1,0,4
Warnung,1,2,0,1,0,2,1,7
Sum,7,8,0,5,0,10,4,34
