,"Rechtliches Verfahren, offizielle Untersuchung",Sum
Abwehr,2,2
Disclosure privat,1,1
Solidarisierung mit den beschuldigten (Betroffene),1,1
Verzicht auf Meldung (Betroffene),1,1
Weiteres Handeln der Betroffenen,1,1
Sum,6,6
