,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
Abwehr,0,6,1,3,10
Disclosure privat,0,3,1,3,7
Solidarisierung mit den beschuldigten (Betroffene),0,1,1,1,3
Verzicht auf Meldung (Betroffene),0,1,1,1,3
Weiteres Handeln der Betroffenen,0,1,1,1,3
Sum,0,12,5,9,26
