,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
"Entschädigung, Wiedergutmachung etc.",0,1,0,0,1
Loyalität mit dem Täter,1,4,1,2,8
Neutralisierung,0,9,2,4,15
Schweigegebot,0,1,1,1,3
Solidarisierung mit Betroffenen,0,1,0,0,1
Victim Blaming (Bistum),0,1,1,1,3
Vorgehen,1,21,2,10,34
Sum,2,38,7,18,65
