,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
Anbahnung,1,0,1
Durchführung,1,0,1
Geständnis,1,0,1
Schritte der Wiedergutmachung,0,1,1
Vertuschung,1,0,1
Weiteres Handeln der Beschuldigten,1,1,2
Sum,5,2,7
