,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
Bildung,1,1,2
Dienstverhältnis,1,0,1
Geistliche Gemeinschaften,0,0,0
Jugendarbeit,1,0,1
Orden,0,0,0
Seelsorge,1,0,1
weitere Tatkonstellationen,0,0,0
Sum,4,1,5
