,"Rechtliches Verfahren, offizielle Untersuchung",Sum
"Entschädigung, Wiedergutmachung etc.",1,1
Loyalität mit dem Täter,1,1
Neutralisierung,2,2
Schweigegebot,1,1
Solidarisierung mit Betroffenen,0,0
Victim Blaming (Bistum),1,1
Vorgehen,3,3
Sum,9,9
