,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
"Rechtliches Verfahren, offizielle Untersuchung",1,1,0,1,0,1,0,4
Sum,1,1,0,1,0,1,0,4
