,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
Dummheit,0,3,0,2,5
Gefahr für priesterliches Ansehen,0,1,0,1,2
Kirchenrechtlich,0,4,3,2,9
Missbrauch,0,16,3,5,24
Schutz- und Hilfsbedürftigkeit,0,1,1,1,3
Strafrechtlich,0,7,3,2,12
Verführung,0,3,1,1,5
Verhältnis,1,10,0,4,15
Verstoß gegen 6. Gebot,0,1,1,1,3
Weitere Framings,0,2,1,2,5
Zölibatsverstoß,1,1,0,0,2
moralische Verurteilung,0,7,1,4,12
unerheblich,0,3,1,2,6
verklausuliert,0,4,1,3,8
"Übergriff, Gewalt etc.",0,1,1,1,3
Sum,2,64,17,31,114
