,Meldung (Umfeld),Solidarisierung mit Beschuldigtem (Umfeld),Solidarisierung mit Betroffenen (Umfeld),Verzicht auf Meldung (Umfeld),Warnung,Sum
Anbahnung,0,0,0,0,0,0
Durchführung,0,0,0,0,0,0
Geständnis,0,0,0,0,0,0
Schritte der Wiedergutmachung,0,0,0,0,0,0
Sonstige Vertuschung,0,0,0,0,0,0
Vertuschung,0,0,0,0,0,0
Weiteres Handeln der Beschuldigten,0,0,0,0,0,0
Sum,0,0,0,0,0,0
