,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Beichte,0,0,0,0,0,0,0,0,0
Bildung,0,0,1,0,0,1,0,1,3
Dienstverhältnis,0,0,0,0,0,2,0,2,4
Geistliche Begleitung,1,0,0,0,0,0,0,0,1
Geistliche Gemeinschaften,0,0,0,0,0,0,0,0,0
Jugendarbeit,2,0,1,0,0,0,0,0,3
Kategoriale Seelsorge,0,0,0,0,0,0,0,0,0
Orden,1,0,0,0,0,0,0,0,1
Pfarrei,2,0,1,0,0,0,0,3,6
Seelsorge,0,0,0,0,0,0,0,0,0
weitere Tatkonstellationen,0,1,0,0,0,1,0,0,2
Sum,6,1,3,0,0,4,0,6,20
