,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
Beichte,0,0,0
Bildung,0,0,0
Dienstverhältnis,0,0,0
Geistliche Begleitung,0,0,0
Geistliche Gemeinschaften,0,0,0
Jugendarbeit,0,0,0
Kategoriale Seelsorge,0,0,0
Orden,0,0,0
Pfarrei,0,0,0
Seelsorge,0,0,0
weitere Tatkonstellationen,0,0,0
Sum,0,0,0
