,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Anbahnung,0,0,0,0,0,0,0,0,0,0,0,0,0
Durchführung,0,0,0,0,0,0,0,0,0,0,0,0,0
Geständnis,0,0,0,0,0,0,0,0,0,0,1,1,2
Schritte der Wiedergutmachung,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonstige Vertuschung,0,0,0,2,0,0,0,0,0,0,3,0,5
Vertuschung,0,0,0,1,0,0,0,0,0,0,0,0,1
Weiteres Handeln der Beschuldigten,0,0,0,1,0,0,0,0,0,0,0,0,1
Sum,0,0,0,4,0,0,0,0,0,0,4,1,9
