,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Berührungen,0,0,0,0,0,2,0,0,1,0,0,3
Entblößen des eigenen Körpers,0,0,0,0,0,0,0,0,0,0,0,0
Penetration,0,0,0,0,0,0,0,0,0,0,0,0
Sprache/Gesten/Aufforderungen,0,1,0,0,0,0,0,0,0,0,0,1
Verhältnis,0,0,0,0,0,0,0,0,0,0,0,0
nicht spezifizierte Taten,0,0,0,0,0,0,0,0,1,0,0,1
reproduktiv,0,0,0,0,0,0,0,0,1,0,0,1
spirituell,0,0,0,0,0,0,0,0,1,0,0,1
weitere Vorwürfe,0,0,0,0,0,0,0,0,1,0,0,1
Sum,0,1,0,0,0,2,0,0,5,0,0,8
