,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Abwehr,0,0,0,0
Disclosure privat,0,0,0,0
Solidarisierung mit den beschuldigten (Betroffene),0,0,0,0
Verzicht auf Meldung (Betroffene),0,0,0,0
Weiteres Handeln der Betroffenen,0,0,0,0
Sum,0,0,0,0
