,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Anbahnung,0,0,0,0
Durchführung,0,0,0,0
Geständnis,0,0,0,0
Schritte der Wiedergutmachung,0,0,0,0
Sonstige Vertuschung,0,0,0,0
Vertuschung,0,0,0,0
Weiteres Handeln der Beschuldigten,0,0,0,0
Sum,0,0,0,0
