,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Meldung (Umfeld),5,0,0,0,0,4,0,0,5,14
Solidarisierung mit Beschuldigtem (Umfeld),0,0,0,0,0,0,0,0,0,0
Solidarisierung mit Betroffenen (Umfeld),0,0,0,0,0,0,0,0,0,0
Verzicht auf Meldung (Umfeld),0,0,0,0,0,0,0,0,0,0
Warnung,0,0,0,0,0,0,0,0,0,0
Sum,5,0,0,0,0,4,0,0,5,14
