,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Abwehr,0,0,0,0,0,0,0,0,0,0,0,0,0
Disclosure privat,0,0,0,0,0,0,0,0,0,0,0,0,0
Solidarisierung mit den beschuldigten (Betroffene),0,0,0,0,0,0,0,0,0,0,0,0,0
Verzicht auf Meldung (Betroffene),0,0,0,0,0,0,0,0,0,0,0,0,0
Weiteres Handeln der Betroffenen,1,0,0,0,0,0,0,0,0,0,0,0,1
Sum,1,0,0,0,0,0,0,0,0,0,0,0,1
