,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Anbahnung,0,2,1,0,0,1,0,0,4
Durchführung,0,0,3,0,0,1,0,0,4
Geständnis,0,0,0,0,0,0,0,0,0
Schritte der Wiedergutmachung,0,0,2,0,0,0,0,0,2
Sonstige Vertuschung,0,2,0,0,0,0,0,1,3
Vertuschung,1,7,0,0,1,0,0,1,10
Weiteres Handeln der Beschuldigten,0,0,1,0,0,0,0,0,1
Sum,1,11,7,0,1,2,0,2,24
