,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Definition,0,0,0,0,0,0,0,0,0
Statistik,0,0,0,0,0,0,0,0,0
qualitative Auswertung,1,0,0,0,0,0,0,0,1
Sum,1,0,0,0,0,0,0,0,1
